game_n,winner,turn_outcome
76,2,"(1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 2, 1, 2, 1)"
77,2,"(0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1)"
78,2,"(1, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 1, 0, 1, 1, 1, 2, 1, 1)"
79,0,"(1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1, 1, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 1, 2, 1, 0, 1)"
80,3,"(1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 0, 2, 2, 2, 2, 0, 2, 1, 0, 0, 0, 0, 1)"
81,2,"(1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 2, 1, 2, 0, 2, 1, 0, 2, 0, 0, 1, 2, 1, 2, 0, 1, 0, 2, 1, 2, 0, 1, 2, 2, 2, 0, 1, 1)"
82,0,"(1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1)"
83,,"(1, 1, 0, 1, 2, 1, 0, 2, 2, 1, 1, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1)"
84,0,"(0, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 0, 1, 2, 2, 1, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1)"
85,0,"(1, 1, 2, 1, 2, 2, 0, 1, 2, 1, 0, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 2, 1, 2, 2, 1, 1, 0, 0, 1, 0, 2, 0, 1)"
86,3,"(0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 1, 1, 1, 0, 2, 2, 2, 0, 2, 2, 1)"
87,,"(1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 1, 2, 1)"
88,1,"(1, 1, 1, 1, 2, 1, 1, 0, 0, 2, 2, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 1, 1, 2, 1, 0, 1, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 1)"
89,1,"(1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1)"
